,INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location,date
63716,I182002757,617,Larceny,LARCENY THEFT FROM BUILDING,C11,243,,2018-01-11 12:22:01,2018,1,Thursday,12,Part One,TRESCOTT ST,42.31580044,-71.06052053,"(42.31580044, -71.06052053)",2018-01-11
63722,I182002751,617,Larceny,LARCENY THEFT FROM BUILDING,A15,60,,2018-01-10 04:30:00,2018,1,Wednesday,4,Part One,RUTHERFORD AVE,42.37167264,-71.06326413,"(42.37167264, -71.06326413)",2018-01-10
63842,I182002630,613,Larceny,LARCENY SHOPLIFTING,D14,781,,2018-01-10 21:52:00,2018,1,Wednesday,21,Part One,N BEACON ST,42.35528211,-71.14566136,"(42.35528211, -71.14566136)",2018-01-10
63857,I182002618,613,Larceny,LARCENY SHOPLIFTING,B2,603,,2018-01-10 21:59:00,2018,1,Wednesday,21,Part One,TREMONT ST,42.33380683,-71.10377843,"(42.33380683, -71.10377843)",2018-01-10
63865,I182002611,613,Larceny,LARCENY SHOPLIFTING,D4,143,,2018-01-10 18:00:00,2018,1,Wednesday,18,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)",2018-01-10
63869,I182002606,617,Larceny,LARCENY THEFT FROM BUILDING,A1,123,,2018-01-10 20:59:00,2018,1,Wednesday,20,Part One,WASHINGTON ST,42.34997256,-71.06348817,"(42.34997256, -71.06348817)",2018-01-10
63882,I182002589,619,Larceny,LARCENY ALL OTHERS,E18,493,,2018-01-10 19:36:00,2018,1,Wednesday,19,Part One,HUNTINGTON AVE,42.26341466,-71.11483107,"(42.26341466, -71.11483107)",2018-01-10
63921,I182002552,619,Larceny,LARCENY ALL OTHERS,B3,438,,2018-01-03 17:47:00,2018,1,Wednesday,17,Part One,MILLET ST,42.29098101,-71.07589348,"(42.29098101, -71.07589348)",2018-01-03
63929,I182002545,619,Larceny,LARCENY ALL OTHERS,C11,355,,2018-01-09 16:20:00,2018,1,Tuesday,16,Part One,PARK ST,42.29878438,-71.06011998,"(42.29878438, -71.06011998)",2018-01-09
63955,I182002515,617,Larceny,LARCENY THEFT FROM BUILDING,D4,138,,2018-01-10 16:36:00,2018,1,Wednesday,16,Part One,BOYLSTON ST,42.34901954,-71.08130134,"(42.34901954, -71.08130134)",2018-01-10
63988,I182002475,619,Larceny,LARCENY ALL OTHERS,A1,117,,2017-12-13 23:44:00,2017,12,Wednesday,23,Part One,BOYLSTON ST,42.3523119,-71.0637051,"(42.35231190, -71.06370510)",2017-12-13
64000,I182002462,617,Larceny,LARCENY THEFT FROM BUILDING,A1,61,,2018-01-07 19:00:00,2018,1,Sunday,19,Part One,LEGENDS WAY,42.36643546,-71.06135413,"(42.36643546, -71.06135413)",2018-01-07
64008,I182002450,613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-01-10 13:07:00,2018,1,Wednesday,13,Part One,COPLEY PL,42.34800978,-71.0766976,"(42.34800978, -71.07669760)",2018-01-10
64015,I182002444,617,Larceny,LARCENY THEFT FROM BUILDING,A1,61,,2017-12-22 13:30:00,2017,12,Friday,13,Part One,LEGENDS WAY,42.36643546,-71.06135413,"(42.36643546, -71.06135413)",2017-12-22
64020,I182002439,613,Larceny,LARCENY SHOPLIFTING,B2,309,,2018-01-10 13:11:00,2018,1,Wednesday,13,Part One,MARTIN LUTHER KING JR BLV,42.31860134,-71.08405792,"(42.31860134, -71.08405792)",2018-01-10
64027,I182002431,613,Larceny,LARCENY SHOPLIFTING,A1,111,,2018-01-10 12:01:00,2018,1,Wednesday,12,Part One,WINTER ST,42.35602373,-71.06177615,"(42.35602373, -71.06177615)",2018-01-10
